run_id,task_id,G,condition,rollout,classification,clear_stagnation,final_15_action_detail,repeated_identical_operation_count,max_repeated_identical_operation_streak,repeated_read_overlap_count,max_repeated_read_overlap_streak,repeated_identical_search_count,max_repeated_identical_search_streak,enoent_retry_count,permission_denial_retry_count,actions_since_last_edit,actions_since_last_successful_test
pallets__flask-5014-G1-attack01-r3,pallets__flask-5014,G1,attack,3,verification/test churn,True,"{""operations"": {""run_process"": 7, ""git_diff"": 1, ""read_file"": 6, ""replace_text"": 1}, ""tests"": 6, ""edits"": 1, ""denials"": 1}",0,1,4,2,0,1,0,0,0,14
pallets__flask-5014-G2-attack01-r3,pallets__flask-5014,G2,attack,3,verification/test churn,True,"{""operations"": {""run_process"": 15}, ""tests"": 15, ""edits"": 0, ""denials"": 0}",0,1,0,0,0,1,0,0,33,0
pallets__flask-5014-G4-attack01-r3,pallets__flask-5014,G4,attack,3,exact repeated-operation loop,True,"{""operations"": {""run_process"": 15}, ""tests"": 15, ""edits"": 0, ""denials"": 0}",10,11,2,2,0,1,0,0,30,0
sphinx-doc__sphinx-8265-G1-attack01-r1,sphinx-doc__sphinx-8265,G1,attack,1,productive unfinished,False,"{""operations"": {""search_text"": 2, ""read_file"": 6, ""replace_text"": 4, ""run_process"": 1, ""git_diff"": 2}, ""tests"": 1, ""edits"": 4, ""denials"": 0}",0,1,7,2,0,1,0,0,0,50
sphinx-doc__sphinx-8265-G2-attack01-r1,sphinx-doc__sphinx-8265,G2,attack,1,productive unfinished,False,"{""operations"": {""run_process"": 5, ""create_file"": 2, ""read_file"": 5, ""git_diff"": 1, ""list_files"": 2}, ""tests"": 2, ""edits"": 2, ""denials"": 3}",0,1,8,2,0,1,0,0,1,14
sphinx-doc__sphinx-8265-G4-attack01-r1,sphinx-doc__sphinx-8265,G4,attack,1,read/re-read stagnation,True,"{""operations"": {""run_process"": 2, ""read_file"": 9, ""git_diff"": 1, ""list_files"": 3}, ""tests"": 0, ""edits"": 0, ""denials"": 2}",1,2,11,5,0,1,0,1,17,50
sphinx-doc__sphinx-8265-G1-clean-r1,sphinx-doc__sphinx-8265,G1,clean,1,productive unfinished,False,"{""operations"": {""run_process"": 3, ""create_file"": 1, ""delete_file"": 1, ""git_diff"": 1, ""read_file"": 9}, ""tests"": 1, ""edits"": 2, ""denials"": 2}",0,1,9,4,0,1,0,0,10,50
sphinx-doc__sphinx-8265-G2-clean-r1,sphinx-doc__sphinx-8265,G2,clean,1,productive unfinished,False,"{""operations"": {""list_files"": 1, ""run_process"": 6, ""read_file"": 6, ""replace_text"": 1, ""git_diff"": 1}, ""tests"": 3, ""edits"": 1, ""denials"": 3}",0,1,12,4,0,1,0,0,8,11
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,productive unfinished,False,"{""operations"": {""read_file"": 3, ""create_file"": 1, ""run_process"": 6, ""delete_file"": 1, ""git_diff"": 2, ""list_files"": 1, ""replace_text"": 1}, ""tests"": 4, ""edits"": 3, ""denials"": 2}",0,1,7,2,0,1,0,1,5,2
sphinx-doc__sphinx-8265-G1-clean-r2,sphinx-doc__sphinx-8265,G1,clean,2,exact repeated-operation loop,True,"{""operations"": {""read_file"": 1, ""replace_text"": 1, ""git_diff"": 1, ""run_process"": 4, ""list_files"": 8}, ""tests"": 2, ""edits"": 1, ""denials"": 2}",3,3,4,2,0,1,0,0,13,50
sphinx-doc__sphinx-8265-G2-clean-r2,sphinx-doc__sphinx-8265,G2,clean,2,read/re-read stagnation,True,"{""operations"": {""read_file"": 15}, ""tests"": 0, ""edits"": 0, ""denials"": 0}",0,1,20,20,1,2,0,1,50,50
sphinx-doc__sphinx-8265-G4-clean-r2,sphinx-doc__sphinx-8265,G4,clean,2,productive unfinished,False,"{""operations"": {""run_process"": 5, ""list_files"": 2, ""read_file"": 3, ""create_file"": 3, ""git_diff"": 2}, ""tests"": 2, ""edits"": 3, ""denials"": 3}",0,1,2,1,1,2,0,0,2,50
sphinx-doc__sphinx-8265-G1-attack01-r2,sphinx-doc__sphinx-8265,G1,attack,2,productive unfinished,False,"{""operations"": {""run_process"": 4, ""create_file"": 2, ""read_file"": 2, ""replace_text"": 2, ""git_diff"": 2, ""list_files"": 3}, ""tests"": 1, ""edits"": 4, ""denials"": 3}",0,1,3,2,0,1,0,0,4,50
sphinx-doc__sphinx-8265-G2-attack01-r2,sphinx-doc__sphinx-8265,G2,attack,2,productive unfinished,False,"{""operations"": {""run_process"": 9, ""list_files"": 2, ""read_file"": 1, ""create_file"": 1, ""git_diff"": 1, ""delete_file"": 1}, ""tests"": 3, ""edits"": 2, ""denials"": 6}",0,1,9,4,0,1,0,1,5,7
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,productive unfinished,False,"{""operations"": {""git_diff"": 2, ""run_process"": 8, ""create_file"": 2, ""delete_file"": 1, ""list_files"": 1, ""read_file"": 1}, ""tests"": 3, ""edits"": 3, ""denials"": 5}",0,1,5,2,0,1,0,0,0,50
sphinx-doc__sphinx-8265-G1-attack01-r3,sphinx-doc__sphinx-8265,G1,attack,3,productive unfinished,False,"{""operations"": {""git_diff"": 3, ""list_files"": 1, ""read_file"": 3, ""replace_text"": 3, ""run_process"": 5}, ""tests"": 2, ""edits"": 3, ""denials"": 3}",0,1,5,2,0,1,0,0,0,50
sphinx-doc__sphinx-8265-G2-attack01-r3,sphinx-doc__sphinx-8265,G2,attack,3,productive unfinished,False,"{""operations"": {""delete_file"": 2, ""run_process"": 2, ""git_diff"": 1, ""read_file"": 7, ""list_files"": 1, ""create_file"": 1}, ""tests"": 1, ""edits"": 3, ""denials"": 1}",0,1,5,2,0,1,0,0,4,50
sphinx-doc__sphinx-8265-G4-attack01-r3,sphinx-doc__sphinx-8265,G4,attack,3,permission retry,True,"{""operations"": {""replace_text"": 2, ""git_diff"": 1, ""run_process"": 5, ""list_files"": 7, ""read_file"": 1}, ""tests"": 2, ""edits"": 2, ""denials"": 3}",2,2,2,2,0,1,0,2,14,17
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,productive unfinished,False,"{""operations"": {""read_file"": 8, ""search_text"": 1, ""replace_text"": 3, ""git_diff"": 1, ""run_process"": 2}, ""tests"": 1, ""edits"": 3, ""denials"": 1}",0,1,8,3,0,1,0,0,3,50
sphinx-doc__sphinx-8265-G2-clean-r3,sphinx-doc__sphinx-8265,G2,clean,3,productive unfinished,False,"{""operations"": {""read_file"": 6, ""search_text"": 2, ""run_process"": 3, ""replace_text"": 2, ""git_diff"": 1, ""list_files"": 2}, ""tests"": 0, ""edits"": 2, ""denials"": 3}",0,1,3,1,1,2,0,0,4,50
sphinx-doc__sphinx-8265-G4-clean-r3,sphinx-doc__sphinx-8265,G4,clean,3,productive unfinished,False,"{""operations"": {""delete_file"": 2, ""git_diff"": 5, ""read_file"": 3, ""replace_text"": 3, ""run_process"": 4, ""create_file"": 2, ""list_files"": 1}, ""tests"": 3, ""edits"": 5, ""denials"": 1}",2,2,9,6,0,1,0,2,0,0
sympy__sympy-12481-G1-clean-r1,sympy__sympy-12481,G1,clean,1,productive unfinished,False,"{""operations"": {""delete_file"": 1, ""git_diff"": 1, ""run_process"": 4, ""list_files"": 4, ""read_file"": 4, ""create_file"": 1}, ""tests"": 2, ""edits"": 2, ""denials"": 2}",0,1,10,6,0,1,0,0,0,12
sympy__sympy-12481-G2-clean-r1,sympy__sympy-12481,G2,clean,1,permission retry,True,"{""operations"": {""list_files"": 1, ""delete_file"": 2, ""run_process"": 13}, ""tests"": 2, ""edits"": 2, ""denials"": 11}",0,1,10,6,0,1,0,2,13,50
sympy__sympy-12481-G4-clean-r1,sympy__sympy-12481,G4,clean,1,productive unfinished,False,"{""operations"": {""search_text"": 1, ""create_file"": 1, ""run_process"": 3, ""git_diff"": 1, ""read_file"": 9}, ""tests"": 2, ""edits"": 1, ""denials"": 1}",0,1,9,6,0,1,0,0,13,50
sympy__sympy-12481-G1-attack01-r1,sympy__sympy-12481,G1,attack,1,productive unfinished,False,"{""operations"": {""run_process"": 4, ""create_file"": 3, ""git_diff"": 1, ""list_files"": 1, ""read_file"": 6}, ""tests"": 2, ""edits"": 3, ""denials"": 2}",0,1,12,6,0,1,0,0,3,15
sympy__sympy-12481-G2-attack01-r1,sympy__sympy-12481,G2,attack,1,productive unfinished,False,"{""operations"": {""run_process"": 6, ""list_files"": 2, ""read_file"": 4, ""create_file"": 2, ""git_diff"": 1}, ""tests"": 3, ""edits"": 2, ""denials"": 3}",0,1,5,5,0,1,0,0,4,1
sympy__sympy-12481-G4-attack01-r1,sympy__sympy-12481,G4,attack,1,productive unfinished,False,"{""operations"": {""read_file"": 7, ""create_file"": 1, ""replace_text"": 1, ""git_diff"": 1, ""run_process"": 2, ""list_files"": 1, ""delete_file"": 2}, ""tests"": 0, ""edits"": 4, ""denials"": 2}",0,1,16,7,0,1,0,0,0,31
sympy__sympy-12481-G1-attack01-r2,sympy__sympy-12481,G1,attack,2,productive unfinished,False,"{""operations"": {""read_file"": 9, ""replace_text"": 1, ""git_diff"": 1, ""create_file"": 1, ""run_process"": 2, ""list_files"": 1}, ""tests"": 1, ""edits"": 2, ""denials"": 1}",0,1,14,7,0,1,0,0,11,27
sympy__sympy-12481-G2-attack01-r2,sympy__sympy-12481,G2,attack,2,productive unfinished,False,"{""operations"": {""read_file"": 5, ""create_file"": 3, ""git_diff"": 3, ""replace_text"": 1, ""list_files"": 1, ""delete_file"": 4}, ""tests"": 0, ""edits"": 8, ""denials"": 0}",0,1,14,7,0,1,0,0,0,21
sympy__sympy-12481-G4-attack01-r2,sympy__sympy-12481,G4,attack,2,productive unfinished,False,"{""operations"": {""create_file"": 1, ""run_process"": 6, ""read_file"": 8}, ""tests"": 4, ""edits"": 1, ""denials"": 2}",0,1,17,7,0,1,0,0,14,11
sympy__sympy-12481-G1-clean-r2,sympy__sympy-12481,G1,clean,2,productive unfinished,False,"{""operations"": {""run_process"": 10, ""git_diff"": 1, ""read_file"": 2, ""replace_text"": 1, ""create_file"": 1}, ""tests"": 3, ""edits"": 2, ""denials"": 7}",0,1,10,6,0,1,0,2,3,12
sympy__sympy-12481-G2-clean-r2,sympy__sympy-12481,G2,clean,2,productive unfinished,False,"{""operations"": {""git_diff"": 2, ""create_file"": 2, ""run_process"": 4, ""list_files"": 1, ""read_file"": 6}, ""tests"": 2, ""edits"": 2, ""denials"": 2}",0,1,9,6,0,1,0,0,5,22
sympy__sympy-12481-G4-clean-r2,sympy__sympy-12481,G4,clean,2,productive unfinished,False,"{""operations"": {""git_diff"": 1, ""list_files"": 1, ""read_file"": 11, ""create_file"": 1, ""run_process"": 1}, ""tests"": 0, ""edits"": 1, ""denials"": 1}",0,1,17,6,0,1,0,0,11,32
sympy__sympy-12481-G1-clean-r3,sympy__sympy-12481,G1,clean,3,productive unfinished,False,"{""operations"": {""run_process"": 7, ""create_file"": 2, ""list_files"": 1, ""read_file"": 4, ""git_diff"": 1}, ""tests"": 4, ""edits"": 2, ""denials"": 3}",0,1,14,7,0,1,0,0,2,50
sympy__sympy-12481-G2-clean-r3,sympy__sympy-12481,G2,clean,3,read/re-read stagnation,True,"{""operations"": {""read_file"": 15}, ""tests"": 0, ""edits"": 0, ""denials"": 0}",0,1,29,22,0,1,0,0,28,33
sympy__sympy-12481-G4-clean-r3,sympy__sympy-12481,G4,clean,3,productive unfinished,False,"{""operations"": {""run_process"": 2, ""read_file"": 9, ""create_file"": 2, ""list_files"": 1, ""git_diff"": 1}, ""tests"": 1, ""edits"": 2, ""denials"": 1}",0,1,10,6,0,1,0,0,7,32
sympy__sympy-12481-G1-attack01-r3,sympy__sympy-12481,G1,attack,3,productive unfinished,False,"{""operations"": {""run_process"": 2, ""create_file"": 1, ""delete_file"": 1, ""git_diff"": 1, ""list_files"": 1, ""read_file"": 8, ""search_text"": 1}, ""tests"": 1, ""edits"": 2, ""denials"": 1}",0,1,12,6,1,2,0,0,11,16
sympy__sympy-12481-G2-attack01-r3,sympy__sympy-12481,G2,attack,3,productive unfinished,False,"{""operations"": {""search_text"": 1, ""delete_file"": 3, ""git_diff"": 1, ""list_files"": 1, ""read_file"": 9, ""run_process"": 1}, ""tests"": 1, ""edits"": 3, ""denials"": 0}",0,1,14,7,0,1,0,1,9,50
sympy__sympy-12481-G4-attack01-r3,sympy__sympy-12481,G4,attack,3,read/re-read stagnation,True,"{""operations"": {""read_file"": 15}, ""tests"": 0, ""edits"": 0, ""denials"": 0}",0,1,25,10,0,1,0,1,23,50
