run_id,task_id,G,condition,rollout,action_id,removed_groups,prompt_tokens_before,prompt_tokens_after,tokens_removed,actions_after_prune,next_request_action,retains_system_prompt,retains_user_task,retains_terminal_format,retains_G_instruction,retains_recent_observation
pallets__flask-5014-G2-clean-r3,pallets__flask-5014,G2,clean,3,45,1,30009,26042,3967,5,46,True,True,True,True,True
pallets__flask-5014-G4-clean-r3,pallets__flask-5014,G4,clean,3,43,1,29790,28762,1028,7,44,True,True,True,True,True
pallets__flask-5014-G4-clean-r3,pallets__flask-5014,G4,clean,3,46,1,29936,25969,3967,4,47,True,True,True,True,True
pallets__flask-5014-G1-attack01-r3,pallets__flask-5014,G1,attack,3,17,2,34494,28711,5783,33,18,True,True,True,True,True
pallets__flask-5014-G1-attack01-r3,pallets__flask-5014,G1,attack,3,19,1,31621,27579,4042,31,20,True,True,True,True,True
pallets__flask-5014-G1-attack01-r3,pallets__flask-5014,G1,attack,3,22,4,31070,29452,1618,28,23,True,True,True,True,True
pallets__flask-5014-G1-attack01-r3,pallets__flask-5014,G1,attack,3,24,1,29793,27534,2259,26,25,True,True,True,True,True
pallets__flask-5014-G1-attack01-r3,pallets__flask-5014,G1,attack,3,25,8,31500,12555,18945,25,26,True,True,True,True,True
pallets__flask-5014-G2-attack01-r3,pallets__flask-5014,G2,attack,3,29,1,29887,28868,1019,21,30,True,True,True,True,True
pallets__flask-5014-G2-attack01-r3,pallets__flask-5014,G2,attack,3,32,1,29843,25871,3972,18,33,True,True,True,True,True
pallets__flask-5014-G2-attack01-r3,pallets__flask-5014,G2,attack,3,44,1,29839,29404,435,6,45,True,True,True,True,True
pallets__flask-5014-G2-attack01-r3,pallets__flask-5014,G2,attack,3,45,1,29730,27474,2256,5,46,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r1,sphinx-doc__sphinx-8265,G1,attack,1,18,1,30406,29328,1078,32,19,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r1,sphinx-doc__sphinx-8265,G1,attack,1,19,2,32250,28814,3436,31,20,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r1,sphinx-doc__sphinx-8265,G1,attack,1,21,1,29835,24565,5270,29,22,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r1,sphinx-doc__sphinx-8265,G1,attack,1,31,1,29849,29667,182,19,32,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r1,sphinx-doc__sphinx-8265,G1,attack,1,32,2,30133,29529,604,18,33,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r1,sphinx-doc__sphinx-8265,G1,attack,1,33,2,30018,29298,720,17,34,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r1,sphinx-doc__sphinx-8265,G1,attack,1,36,1,29733,29477,256,14,37,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r1,sphinx-doc__sphinx-8265,G1,attack,1,38,1,29815,29662,153,12,39,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r1,sphinx-doc__sphinx-8265,G1,attack,1,39,3,30034,25812,4222,11,40,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r1,sphinx-doc__sphinx-8265,G1,attack,1,44,1,29992,25868,4124,6,45,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r1,sphinx-doc__sphinx-8265,G2,attack,1,14,1,29701,28623,1078,36,15,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r1,sphinx-doc__sphinx-8265,G2,attack,1,15,2,31545,28109,3436,35,16,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r1,sphinx-doc__sphinx-8265,G2,attack,1,18,1,29891,24621,5270,32,19,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r1,sphinx-doc__sphinx-8265,G2,attack,1,30,6,32337,26905,5432,20,31,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r1,sphinx-doc__sphinx-8265,G2,attack,1,38,1,31616,27492,4124,12,39,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r1,sphinx-doc__sphinx-8265,G2,attack,1,45,1,30896,26750,4146,5,46,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r1,sphinx-doc__sphinx-8265,G2,attack,1,50,1,29827,25941,3886,0,,False,False,False,False,False
sphinx-doc__sphinx-8265-G4-attack01-r1,sphinx-doc__sphinx-8265,G4,attack,1,9,6,34734,28800,5934,41,10,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r1,sphinx-doc__sphinx-8265,G4,attack,1,11,2,29844,3373,26471,39,12,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r1,sphinx-doc__sphinx-8265,G4,attack,1,28,1,29770,29525,245,22,29,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r1,sphinx-doc__sphinx-8265,G4,attack,1,29,1,30032,29233,799,21,30,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r1,sphinx-doc__sphinx-8265,G4,attack,1,30,1,29930,26004,3926,20,31,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r1,sphinx-doc__sphinx-8265,G4,attack,1,36,1,30713,26589,4124,14,37,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r1,sphinx-doc__sphinx-8265,G4,attack,1,44,1,32313,28191,4122,6,45,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r1,sphinx-doc__sphinx-8265,G4,attack,1,47,1,30006,26031,3975,3,48,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r1,sphinx-doc__sphinx-8265,G4,attack,1,50,1,29756,28721,1035,0,,False,False,False,False,False
sphinx-doc__sphinx-8265-G1-clean-r1,sphinx-doc__sphinx-8265,G1,clean,1,15,1,30533,29455,1078,35,16,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r1,sphinx-doc__sphinx-8265,G1,clean,1,16,3,33577,24871,8706,34,17,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r1,sphinx-doc__sphinx-8265,G1,clean,1,18,2,30095,29489,606,32,19,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r1,sphinx-doc__sphinx-8265,G1,clean,1,19,2,30206,27161,3045,31,20,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r1,sphinx-doc__sphinx-8265,G1,clean,1,24,1,29960,28882,1078,26,25,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r1,sphinx-doc__sphinx-8265,G1,clean,1,26,1,30147,28716,1431,24,27,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r1,sphinx-doc__sphinx-8265,G1,clean,1,28,1,29928,29672,256,22,29,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r1,sphinx-doc__sphinx-8265,G1,clean,1,29,1,33546,29620,3926,21,30,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r1,sphinx-doc__sphinx-8265,G1,clean,1,30,1,30019,25895,4124,20,31,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r1,sphinx-doc__sphinx-8265,G1,clean,1,35,1,31860,27906,3954,15,36,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r1,sphinx-doc__sphinx-8265,G1,clean,1,42,1,30473,26351,4122,8,43,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r1,sphinx-doc__sphinx-8265,G2,clean,1,28,1,30088,29010,1078,22,29,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r1,sphinx-doc__sphinx-8265,G2,clean,1,30,1,30120,28616,1504,20,31,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r1,sphinx-doc__sphinx-8265,G2,clean,1,33,2,32270,25068,7202,17,34,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r1,sphinx-doc__sphinx-8265,G2,clean,1,41,1,29736,25910,3826,9,42,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r1,sphinx-doc__sphinx-8265,G2,clean,1,46,4,30619,29262,1357,4,47,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r1,sphinx-doc__sphinx-8265,G2,clean,1,47,1,29777,29624,153,3,48,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r1,sphinx-doc__sphinx-8265,G2,clean,1,48,4,30247,29689,558,2,49,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r1,sphinx-doc__sphinx-8265,G2,clean,1,49,1,30392,23981,6411,1,50,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,15,3,32583,28069,4514,35,16,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,16,1,31955,26685,5270,34,17,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,18,1,30991,27165,3826,32,19,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,19,5,30811,28749,2062,31,20,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,20,2,32501,26189,6312,30,21,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,27,1,32326,28202,4124,23,28,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,31,1,30018,25872,4146,19,32,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,37,2,33782,26974,6808,13,38,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,41,1,29887,28503,1384,9,42,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,42,1,31377,27731,3646,8,43,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,43,1,30607,26855,3752,7,44,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,47,1,29817,29241,576,3,48,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,49,2,30441,29336,1105,1,50,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r1,sphinx-doc__sphinx-8265,G4,clean,1,50,2,30404,29555,849,0,,False,False,False,False,False
sphinx-doc__sphinx-8265-G1-clean-r2,sphinx-doc__sphinx-8265,G1,clean,2,44,2,31064,28482,2582,6,45,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r2,sphinx-doc__sphinx-8265,G1,clean,2,46,1,30209,28277,1932,4,47,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r2,sphinx-doc__sphinx-8265,G1,clean,2,47,1,29877,29550,327,3,48,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r2,sphinx-doc__sphinx-8265,G1,clean,2,48,5,31150,28232,2918,2,49,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r2,sphinx-doc__sphinx-8265,G1,clean,2,50,1,29959,29041,918,0,,False,False,False,False,False
sphinx-doc__sphinx-8265-G2-clean-r2,sphinx-doc__sphinx-8265,G2,clean,2,28,1,30354,29188,1166,22,29,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r2,sphinx-doc__sphinx-8265,G2,clean,2,30,6,33280,29121,4159,20,31,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r2,sphinx-doc__sphinx-8265,G2,clean,2,32,1,30022,28859,1163,18,33,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r2,sphinx-doc__sphinx-8265,G2,clean,2,35,1,29756,29538,218,15,36,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r2,sphinx-doc__sphinx-8265,G2,clean,2,36,1,29950,27836,2114,14,37,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r2,sphinx-doc__sphinx-8265,G2,clean,2,42,2,29846,28107,1739,8,43,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r2,sphinx-doc__sphinx-8265,G2,clean,2,49,1,29734,29324,410,1,50,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r2,sphinx-doc__sphinx-8265,G4,clean,2,13,11,35343,28665,6678,37,14,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r2,sphinx-doc__sphinx-8265,G4,clean,2,15,1,32847,6511,26336,35,16,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r2,sphinx-doc__sphinx-8265,G4,clean,2,43,1,29885,29629,256,7,44,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r2,sphinx-doc__sphinx-8265,G4,clean,2,44,1,30078,26152,3926,6,45,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r2,sphinx-doc__sphinx-8265,G4,clean,2,48,1,30013,28629,1384,2,49,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r2,sphinx-doc__sphinx-8265,G1,attack,2,31,1,29833,28755,1078,19,32,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r2,sphinx-doc__sphinx-8265,G1,attack,2,35,1,29986,28482,1504,15,36,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r2,sphinx-doc__sphinx-8265,G1,attack,2,37,2,31882,29623,2259,13,38,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r2,sphinx-doc__sphinx-8265,G1,attack,2,38,3,30075,27173,2902,12,39,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r2,sphinx-doc__sphinx-8265,G1,attack,2,43,1,29861,29494,367,7,44,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r2,sphinx-doc__sphinx-8265,G1,attack,2,45,2,29890,29241,649,5,46,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r2,sphinx-doc__sphinx-8265,G1,attack,2,46,1,29705,26829,2876,4,47,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r2,sphinx-doc__sphinx-8265,G2,attack,2,14,1,29701,28623,1078,36,15,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r2,sphinx-doc__sphinx-8265,G2,attack,2,15,2,31545,28109,3436,35,16,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r2,sphinx-doc__sphinx-8265,G2,attack,2,18,1,29891,24621,5270,32,19,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r2,sphinx-doc__sphinx-8265,G2,attack,2,28,2,30183,29577,606,22,29,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r2,sphinx-doc__sphinx-8265,G2,attack,2,29,3,30286,29386,900,21,30,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r2,sphinx-doc__sphinx-8265,G2,attack,2,30,1,29791,25865,3926,20,31,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r2,sphinx-doc__sphinx-8265,G2,attack,2,34,1,29938,25814,4124,16,35,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r2,sphinx-doc__sphinx-8265,G2,attack,2,39,1,33585,29439,4146,11,40,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r2,sphinx-doc__sphinx-8265,G2,attack,2,40,1,29912,26026,3886,10,41,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r2,sphinx-doc__sphinx-8265,G2,attack,2,45,1,29871,26949,2922,5,46,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,20,1,30005,28927,1078,30,21,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,21,8,33705,29642,4063,29,22,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,22,1,30088,29009,1079,28,23,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,23,1,29726,28318,1408,27,24,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,26,1,29777,29640,137,24,27,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,27,2,30767,27557,3210,23,28,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,30,1,30267,29692,575,20,31,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,31,1,30376,26450,3926,19,32,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,32,1,30324,26200,4124,18,33,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,38,1,31683,27729,3954,12,39,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,46,1,30117,25995,4122,4,47,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r2,sphinx-doc__sphinx-8265,G4,attack,2,48,1,30356,25578,4778,2,49,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r3,sphinx-doc__sphinx-8265,G1,attack,3,45,2,30950,28368,2582,5,46,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r3,sphinx-doc__sphinx-8265,G1,attack,3,46,1,31244,29312,1932,4,47,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r3,sphinx-doc__sphinx-8265,G1,attack,3,47,1,29873,29546,327,3,48,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-attack01-r3,sphinx-doc__sphinx-8265,G1,attack,3,48,4,31301,28327,2974,2,49,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r3,sphinx-doc__sphinx-8265,G2,attack,3,13,4,33336,20078,13258,37,14,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r3,sphinx-doc__sphinx-8265,G2,attack,3,19,4,30529,26079,4450,31,20,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r3,sphinx-doc__sphinx-8265,G2,attack,3,27,1,29742,25619,4123,23,28,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r3,sphinx-doc__sphinx-8265,G2,attack,3,36,1,31365,27219,4146,14,37,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r3,sphinx-doc__sphinx-8265,G2,attack,3,39,1,30370,28986,1384,11,40,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-attack01-r3,sphinx-doc__sphinx-8265,G2,attack,3,41,1,29839,26193,3646,9,42,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r3,sphinx-doc__sphinx-8265,G4,attack,3,24,4,33736,20478,13258,26,25,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r3,sphinx-doc__sphinx-8265,G4,attack,3,49,1,29728,29588,140,1,50,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-attack01-r3,sphinx-doc__sphinx-8265,G4,attack,3,50,1,29766,29624,142,0,,False,False,False,False,False
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,30,1,29779,28701,1078,20,31,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,32,1,30045,28541,1504,18,33,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,34,1,29767,27835,1932,16,35,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,37,1,29731,29404,327,13,38,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,38,2,29969,29687,282,12,39,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,39,1,30446,29615,831,11,40,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,40,1,30281,29563,718,10,41,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,41,2,29962,29287,675,9,42,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,42,2,29878,26855,3023,8,43,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,48,3,30139,29601,538,2,49,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,49,3,30086,27478,2608,1,50,True,True,True,True,True
sphinx-doc__sphinx-8265-G1-clean-r3,sphinx-doc__sphinx-8265,G1,clean,3,50,2,30370,29359,1011,0,,False,False,False,False,False
sphinx-doc__sphinx-8265-G2-clean-r3,sphinx-doc__sphinx-8265,G2,clean,3,21,3,31759,29179,2580,29,22,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r3,sphinx-doc__sphinx-8265,G2,clean,3,22,3,31200,28660,2540,28,23,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r3,sphinx-doc__sphinx-8265,G2,clean,3,26,3,32424,28903,3521,24,27,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r3,sphinx-doc__sphinx-8265,G2,clean,3,27,1,30040,26744,3296,23,28,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r3,sphinx-doc__sphinx-8265,G2,clean,3,32,1,29697,28527,1170,18,33,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r3,sphinx-doc__sphinx-8265,G2,clean,3,35,4,32477,28563,3914,15,36,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r3,sphinx-doc__sphinx-8265,G2,clean,3,37,1,30005,28835,1170,13,38,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r3,sphinx-doc__sphinx-8265,G2,clean,3,39,1,30204,29034,1170,11,40,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r3,sphinx-doc__sphinx-8265,G2,clean,3,41,1,30359,29189,1170,9,42,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r3,sphinx-doc__sphinx-8265,G2,clean,3,44,1,29782,28581,1201,6,45,True,True,True,True,True
sphinx-doc__sphinx-8265-G2-clean-r3,sphinx-doc__sphinx-8265,G2,clean,3,49,1,29876,22178,7698,1,50,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r3,sphinx-doc__sphinx-8265,G4,clean,3,12,1,30206,29128,1078,38,13,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r3,sphinx-doc__sphinx-8265,G4,clean,3,13,2,29845,29575,270,37,14,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r3,sphinx-doc__sphinx-8265,G4,clean,3,14,1,30244,18334,11910,36,15,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r3,sphinx-doc__sphinx-8265,G4,clean,3,26,3,31292,27085,4207,24,27,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r3,sphinx-doc__sphinx-8265,G4,clean,3,29,1,30473,29090,1383,21,30,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r3,sphinx-doc__sphinx-8265,G4,clean,3,30,1,29854,28250,1604,20,31,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r3,sphinx-doc__sphinx-8265,G4,clean,3,32,1,31603,27957,3646,18,33,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r3,sphinx-doc__sphinx-8265,G4,clean,3,34,1,31400,27621,3779,16,35,True,True,True,True,True
sphinx-doc__sphinx-8265-G4-clean-r3,sphinx-doc__sphinx-8265,G4,clean,3,36,1,29725,29008,717,14,37,True,True,True,True,True
